Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste dos Casos,Chrome 136.0.7103.93,,,09-05-2025 21:28:29,09-05-2025 21:29:23,"53,507s",PASSED
,,,,,,,
Test Cases/Teste de Criação,Chrome 136.0.7103.93,,,09-05-2025 21:28:30,09-05-2025 21:28:40,"9,601s",PASSED
"openBrowser("""")",Chrome 136.0.7103.93,,,09-05-2025 21:28:31,09-05-2025 21:28:36,"4,768s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:36,09-05-2025 21:28:37,"1,075s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Nova tarefa""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:37,09-05-2025 21:28:38,"1,013s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/input__title""), ""Arroz"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:38,09-05-2025 21:28:39,"0,784s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/input__deadline""), ""20/05/2025"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:39,09-05-2025 21:28:39,"0,622s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/button_Salvar""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:39,09-05-2025 21:28:40,"0,568s",PASSED
,,,,,,,
Test Cases/Teste de Edição,Chrome 136.0.7103.93,,,09-05-2025 21:28:40,09-05-2025 21:28:45,"5,186s",PASSED
"openBrowser("""")",Chrome 136.0.7103.93,,,09-05-2025 21:28:40,09-05-2025 21:28:42,"1,542s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:42,09-05-2025 21:28:43,"1,071s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Editar""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:43,09-05-2025 21:28:43,"0,644s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/input__title""), ""Arroz com Carne"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:43,09-05-2025 21:28:44,"0,774s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/input__deadline""), ""20/05/2026"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:44,09-05-2025 21:28:45,"0,626s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/button_Salvar""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:45,09-05-2025 21:28:45,"0,374s",PASSED
,,,,,,,
Test Cases/Teste de Conclusão de tarefa,Chrome 136.0.7103.93,,,09-05-2025 21:28:45,09-05-2025 21:28:49,"3,475s",PASSED
"openBrowser("""")",Chrome 136.0.7103.93,,,09-05-2025 21:28:45,09-05-2025 21:28:47,"1,292s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:47,09-05-2025 21:28:48,"1,412s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Concluir""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:48,09-05-2025 21:28:49,"0,652s",PASSED
,,,,,,,
Test Cases/Teste de Exclusão,Chrome 136.0.7103.93,,,09-05-2025 21:28:49,09-05-2025 21:29:22,"33,628s",PASSED
"openBrowser("""")",Chrome 136.0.7103.93,,,09-05-2025 21:28:49,09-05-2025 21:28:50,"1,439s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.93,,,09-05-2025 21:28:50,09-05-2025 21:28:50,"0,074s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Exclur""))",Chrome 136.0.7103.93,,,09-05-2025 21:28:50,09-05-2025 21:29:22,"31,544s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Exclur Tarefa/button_Exclur""))",Chrome 136.0.7103.93,,,09-05-2025 21:29:22,09-05-2025 21:29:22,"0,492s",PASSED
